comuna,titulo,leychileCode,numero,fechaPublicacion,url,url_minvu
LA SERENA,APRUEBA DESAFECTACION DE LAS DECLARATORIAS DE UTILIDAD PUBLICA DE NOMINA QUE INDICA,,1130,2015-04-29,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2236/4.1130b15b.04101.pdf
LA SERENA,APRUEBA ENMIENDA Nº 8 AL PLAN REGULADOR COMUNAL,,4558,2010-12-07,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2235/4.4558b10c.04101.pdf
LA SERENA,DECLARA Y ESTABLECE QUE SUELOS LIBERADOS DE AFECTACIONES QUE INDICA PASAN A ASUMIR NORMAS URBANÍSTICAS DE ZONAS PREDOMINANTES ADYACENTES A ELLOS,,3390-10,2010-09-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2234/4.3390-10b10d.04101.pdf
LA SERENA,"COMPLEMÉNTESE LA PUBLICACIÓN DEL 17 DE FEBRERO DE 2010, PÁGINA 8, DE LA MUNICIPALIDAD DE LA SERENA, DONDE APRUEBA PLANO SECCIONAL Nº 4 AL PLANO REGULADOR COMUNAL, CON LO SIGUIENTE",,773,2010-03-20,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2232/5.773b10b.04101.pdf
LA SERENA,APRUEBA PLANO SECCIONAL Nº4 DEL PLAN REGULADOR COMUNAL DE LA SERENA,1011127,539,2010-02-17,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-539_17-FEB-2010&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1011127.2010-02-17.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2233/5.539b10c.04101.pdf
LA SERENA,APRUEBA ENMIENDA Nº 6 Y MODIFICA ORDENANZA AL PLAN REGULADOR COMUNAL,,3932-08,2008-11-06,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2231/4.3932-08b08c.04101.pdf
LA SERENA,APRUEBA PLANO SECCIONAL Nº 3 DEL PLAN REGULADOR COMUNAL DE LA SERENA,,4503-06,2006-12-16,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2230/5.4503-06b06c.04101.pdf
LA SERENA,APRUEBA LA ENMIENDA Nº4 AL PLAN REGULADOR COMUNAL DE LA SERENA,255909,4335,2006-12-04,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-4335_04-DIC-2006&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=255909.2006-12-04.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2229/4.4335b06c.04101.pdf
LA SERENA,APRUEBA ENMIENDA Nº3 AL PLAN REGULADOR COMUNAL DE LA SERENA,254857,3922,2006-11-03,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-3922_03-NOV-2006&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=254857.2006-11-03.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2228/4.3922b06c.04101.pdf
LA SERENA,APRUEBA ENMIENDA N° 2 AL PLAN REGULADOR COMUNAL,,2236,2006-07-27,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2223/4.2236b06c.04101.pdf
LA SERENA,APRUEBA PLANO SECCIONAL VIAL Nº 2 DE VARIAS CALLES DEL PLAN REGULADOR COMUNAL DE LA SERENA,251685,2714,2006-07-27,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-2714_27-JUL-2006&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=251685.2006-07-27.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2226/5.2714b06c.04101.pdf
LA SERENA,"MODIFICA DECRETO ALCALDICIO N° 2.236/06, DE 2006",,2379-06,2006-06-30,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2225/4.2379-06b06c.04101.pdf
LA SERENA,"APRUEBA PLANO SECCIONAL N° 1, QUE COMPRENDE PLANOS SECCIONALES DE VIALIDAD",,2588-05,2005-11-11,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2222/5.2588-05b05c.04101.pdf
LA SERENA,PROMULGA MODIFICACION Y ACTUALIZACION PLAN REGULADOR COMUNAL DE LA SERENA,228649,498,2004-08-05,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-498_05-AGO-2004&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=228649.2004-08-05.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2221/4.498b04c.04101.pdf
LA SERENA,"PROMULGA MODIFICACION PLAN REGULADOR COMUNAL DE LA SERENA, SECTOR EL FARO",32801,68,1995-08-03,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-68_03-AGO-1995&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=32801.1995-08-03.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2220/4.68a95c.04101.pdf
LA SERENA,PROMULGA MODIFICACION PLAN REGULADOR COMUNAL DE LA SERENA Y AMPLIACION DEL LIMITE URBANO SECTOR COSTERO NORTE,32954,85,1994-09-29,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-85_29-SEP-1994&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=32954.1994-09-29.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2219/4.85a94c.04101.pdf
LA SERENA,"DEJA SIN EFECTO RESOLUCION No. 7, DE 1992, Y APRUEBA PLAN REGULADOR COMUNAL DE LA SERENA",,9,1992-12-30,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2218/4.9a92c.04101.pdf
LA SERENA,"APRUEBA PLAN SECCIONAL CISTERNAS ORIENTE, COMUNA DE LA SERENA",149781,215,1986-12-18,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-215_18-DIC-1986&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=149781.1986-12-18.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2217/5.215a86c.04101.pdf
LA SERENA,MODIFICA PLAN REGULADOR DE LA SERENA Y  DESAFECTA BIEN NACIONAL DE USU PUBLICO QUE INDICA,,235,1981-12-09,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2216/5.235a81c.04101.jpg
LA SERENA,MODIFICA PLAN REGULADOR DE LA SERENA EN CONFORMIDAD SECCIONAL DE POBLACION JUAN XXIII,,307,1980-11-15,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2215/5.307a80c.04101.jpg
LA SERENA,"APRUEBA PLANO SECCIONAL ""LAS COMPAÑIAS"", QUE MODIFICA EL PLAN REGULADOR COMUNAL DE LA SERENA, AMPLIA LIMITES URBANOS Y DEFINE USO DE SUELO.",,19,1978-02-03,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2213/6.19a78c.04101.pdf
LA UNION,APRUEBA ENMIENDA AL PLAN REGULADOR COMUNAL,,9132,2014-12-20,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2842/4.9132b14d.14201.pdf
LA UNION,"PROMULGA MODIFICACION DEL PLAN REGULADOR COMUNAL DE LA UNION, REGION DE LOS RIOS",,117,2012-11-15,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2841/4.117b12c.14201.pdf
LA UNION,APRUEBA PLAN REGULADOR COMUNAL DE LA UNION,209058,9-afecta,2003-04-04,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-9-afecta_04-ABR-2003&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=209058.2003-04-04.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2840/4.9b03c.14201.pdf
LA UNION,APRUEBA MODIFICACION AL PLAN REGULADOR COMUNAL DE LA UNION,123059,31-afecta,1998-08-17,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-31-afecta_17-AGO-1998&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=123059.1998-08-17.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2839/4.31a98a.14201.pdf
LA UNION,MODIFICA PLAN REGULADOR COMUNAL DE LA UNION,88094,5,1991-03-21,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-5_21-MAR-1991&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=88094.1991-03-21.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2838/4.5a91a.14201.pdf
